,Secciones,Indicadores de renta media y mediana,Periodo,Total
8659,2800601058 Alcobendas sección 01058,Renta neta media por hogar,2021,40.100
8701,2800601059 Alcobendas sección 01059,Renta neta media por hogar,2021,88.769
8743,2800601060 Alcobendas sección 01060,Renta neta media por hogar,2021,54.002
8785,2800601061 Alcobendas sección 01061,Renta neta media por hogar,2021,40.179
8827,2800601062 Alcobendas sección 01062,Renta neta media por hogar,2021,43.447
8869,2800601063 Alcobendas sección 01063,Renta neta media por hogar,2021,55.925
8911,2800601064 Alcobendas sección 01064,Renta neta media por hogar,2021,42.991
8953,2800601065 Alcobendas sección 01065,Renta neta media por hogar,2021,52.678
8995,2800601066 Alcobendas sección 01066,Renta neta media por hogar,2021,48.743
9037,2800601067 Alcobendas sección 01067,Renta neta media por hogar,2021,81.452
9079,2800601068 Alcobendas sección 01068,Renta neta media por hogar,2021,88.769
9205,2800701001 Alcorcón sección 01001,Renta neta media por hogar,2021,36.709
9247,2800701002 Alcorcón sección 01002,Renta neta media por hogar,2021,27.009
9289,2800701003 Alcorcón sección 01003,Renta neta media por hogar,2021,31.761
9331,2800701004 Alcorcón sección 01004,Renta neta media por hogar,2021,26.298
9373,2800701005 Alcorcón sección 01005,Renta neta media por hogar,2021,31.222
9415,2800701006 Alcorcón sección 01006,Renta neta media por hogar,2021,34.634
9457,2800701007 Alcorcón sección 01007,Renta neta media por hogar,2021,28.550
9499,2800701008 Alcorcón sección 01008,Renta neta media por hogar,2021,28.518
9541,2800701010 Alcorcón sección 01010,Renta neta media por hogar,2021,26.177
9583,2800701011 Alcorcón sección 01011,Renta neta media por hogar,2021,25.420
9625,2800701012 Alcorcón sección 01012,Renta neta media por hogar,2021,26.150
9667,2800701013 Alcorcón sección 01013,Renta neta media por hogar,2021,26.131
9709,2800701014 Alcorcón sección 01014,Renta neta media por hogar,2021,31.626
9751,2800701015 Alcorcón sección 01015,Renta neta media por hogar,2021,51.758
9793,2800701016 Alcorcón sección 01016,Renta neta media por hogar,2021,45.630
9835,2800701017 Alcorcón sección 01017,Renta neta media por hogar,2021,57.551
9877,2800701018 Alcorcón sección 01018,Renta neta media por hogar,2021,52.492
9919,2800701019 Alcorcón sección 01019,Renta neta media por hogar,2021,44.063
9961,2800701020 Alcorcón sección 01020,Renta neta media por hogar,2021,50.525
10045,2800702001 Alcorcón sección 02001,Renta neta media por hogar,2021,40.573
10087,2800702002 Alcorcón sección 02002,Renta neta media por hogar,2021,41.068
10129,2800702003 Alcorcón sección 02003,Renta neta media por hogar,2021,38.618
10171,2800702004 Alcorcón sección 02004,Renta neta media por hogar,2021,44.717
10213,2800702005 Alcorcón sección 02005,Renta neta media por hogar,2021,39.938
10255,2800702006 Alcorcón sección 02006,Renta neta media por hogar,2021,44.077
10297,2800702007 Alcorcón sección 02007,Renta neta media por hogar,2021,45.178
10339,2800702008 Alcorcón sección 02008,Renta neta media por hogar,2021,47.527
10381,2800702009 Alcorcón sección 02009,Renta neta media por hogar,2021,40.578
10423,2800702010 Alcorcón sección 02010,Renta neta media por hogar,2021,32.953
10465,2800702011 Alcorcón sección 02011,Renta neta media por hogar,2021,29.600
10507,2800702012 Alcorcón sección 02012,Renta neta media por hogar,2021,27.794
10549,2800702013 Alcorcón sección 02013,Renta neta media por hogar,2021,30.728
10591,2800702014 Alcorcón sección 02014,Renta neta media por hogar,2021,30.400
10633,2800702015 Alcorcón sección 02015,Renta neta media por hogar,2021,38.946
10675,2800702016 Alcorcón sección 02016,Renta neta media por hogar,2021,39.906
10717,2800702017 Alcorcón sección 02017,Renta neta media por hogar,2021,33.760
10759,2800702019 Alcorcón sección 02019,Renta neta media por hogar,2021,47.566
10801,2800702020 Alcorcón sección 02020,Renta neta media por hogar,2021,43.900
10843,2800702021 Alcorcón sección 02021,Renta neta media por hogar,2021,46.050
10885,2800702022 Alcorcón sección 02022,Renta neta media por hogar,2021,27.313
10927,2800702023 Alcorcón sección 02023,Renta neta media por hogar,2021,38.864
10969,2800702024 Alcorcón sección 02024,Renta neta media por hogar,2021,46.039
11011,2800702025 Alcorcón sección 02025,Renta neta media por hogar,2021,41.062
11053,2800702026 Alcorcón sección 02026,Renta neta media por hogar,2021,
11095,2800702027 Alcorcón sección 02027,Renta neta media por hogar,2021,38.013
11137,2800702028 Alcorcón sección 02028,Renta neta media por hogar,2021,37.445
11179,2800702029 Alcorcón sección 02029,Renta neta media por hogar,2021,29.657
11221,2800702030 Alcorcón sección 02030,Renta neta media por hogar,2021,57.343
11263,2800702031 Alcorcón sección 02031,Renta neta media por hogar,2021,43.369
11305,2800702032 Alcorcón sección 02032,Renta neta media por hogar,2021,54.427
11347,2800702033 Alcorcón sección 02033,Renta neta media por hogar,2021,32.466
11389,2800702034 Alcorcón sección 02034,Renta neta media por hogar,2021,47.734
11431,2800702035 Alcorcón sección 02035,Renta neta media por hogar,2021,49.671
11473,2800702036 Alcorcón sección 02036,Renta neta media por hogar,2021,41.680
11515,2800702037 Alcorcón sección 02037,Renta neta media por hogar,2021,57.326
11557,2800702038 Alcorcón sección 02038,Renta neta media por hogar,2021,55.588
11641,2800703001 Alcorcón sección 03001,Renta neta media por hogar,2021,32.019
11683,2800703002 Alcorcón sección 03002,Renta neta media por hogar,2021,26.481
11725,2800703003 Alcorcón sección 03003,Renta neta media por hogar,2021,26.948
11767,2800703004 Alcorcón sección 03004,Renta neta media por hogar,2021,28.366
11809,2800703005 Alcorcón sección 03005,Renta neta media por hogar,2021,31.606
11851,2800703006 Alcorcón sección 03006,Renta neta media por hogar,2021,25.949
11893,2800703007 Alcorcón sección 03007,Renta neta media por hogar,2021,26.578
11935,2800703008 Alcorcón sección 03008,Renta neta media por hogar,2021,24.269
11977,2800703009 Alcorcón sección 03009,Renta neta media por hogar,2021,33.018
12019,2800703010 Alcorcón sección 03010,Renta neta media por hogar,2021,26.623
12061,2800703011 Alcorcón sección 03011,Renta neta media por hogar,2021,31.775
12103,2800703012 Alcorcón sección 03012,Renta neta media por hogar,2021,35.690
12145,2800703013 Alcorcón sección 03013,Renta neta media por hogar,2021,37.565
12187,2800703014 Alcorcón sección 03014,Renta neta media por hogar,2021,38.263
12229,2800703015 Alcorcón sección 03015,Renta neta media por hogar,2021,40.284
12271,2800703016 Alcorcón sección 03016,Renta neta media por hogar,2021,36.847
12313,2800703017 Alcorcón sección 03017,Renta neta media por hogar,2021,32.146
12355,2800703018 Alcorcón sección 03018,Renta neta media por hogar,2021,32.180
12397,2800703019 Alcorcón sección 03019,Renta neta media por hogar,2021,32.854
12439,2800703020 Alcorcón sección 03020,Renta neta media por hogar,2021,36.105
12481,2800703021 Alcorcón sección 03021,Renta neta media por hogar,2021,34.890
12523,2800703022 Alcorcón sección 03022,Renta neta media por hogar,2021,38.113
12565,2800703023 Alcorcón sección 03023,Renta neta media por hogar,2021,33.186
12607,2800703024 Alcorcón sección 03024,Renta neta media por hogar,2021,35.361
12649,2800703025 Alcorcón sección 03025,Renta neta media por hogar,2021,29.160
12691,2800703026 Alcorcón sección 03026,Renta neta media por hogar,2021,28.201
12733,2800703027 Alcorcón sección 03027,Renta neta media por hogar,2021,31.814
12775,2800703028 Alcorcón sección 03028,Renta neta media por hogar,2021,
12817,2800703029 Alcorcón sección 03029,Renta neta media por hogar,2021,27.921
12901,2800704001 Alcorcón sección 04001,Renta neta media por hogar,2021,25.214
12943,2800704002 Alcorcón sección 04002,Renta neta media por hogar,2021,24.986
